Time_Stamp,Instrument_ID,Date,Time,Condition,Session,Prox_to_xroad,Relative_Humidity_%,Temperature_C,PM25_ug/m3,PM10_ug/m3
1,378,2025-11-02,20:00:00,Intervention,Session 2,Near,27.977500000000003,19.24083333333333,0.21141666666666667,0.23233333333333336
2,378,2025-11-02,20:01:00,Intervention,Session 2,Near,28.280833333333334,18.969166666666666,0.36341666666666667,2.1449166666666666
3,378,2025-11-02,20:02:00,Intervention,Session 2,Near,28.365,18.641666666666666,0.16941666666666666,0.17058333333333334
4,378,2025-11-02,20:03:00,Intervention,Session 2,Near,28.9575,18.330833333333334,0.23075,0.7931666666666667
5,378,2025-11-02,20:04:00,Intervention,Session 2,Near,29.824166666666667,18.079166666666666,0.3873333333333333,0.6796666666666668
6,378,2025-11-02,20:05:00,Intervention,Session 2,Near,29.911666666666665,17.820833333333333,0.1985,0.21750000000000003
7,378,2025-11-02,20:06:00,Intervention,Session 2,Near,30.9425,17.5725,0.23683333333333334,2.0917499999999998
8,378,2025-11-02,20:07:00,Intervention,Session 2,Near,30.83,17.329166666666666,0.17133333333333334,2.4396666666666667
9,378,2025-11-02,20:08:00,Intervention,Session 2,Near,31.0,17.096666666666668,0.24516666666666667,0.5174166666666666
10,378,2025-11-02,20:09:00,Intervention,Session 2,Near,30.60083333333333,16.86916666666667,0.22008333333333333,0.23875000000000002
11,378,2025-11-02,20:10:00,Intervention,Session 2,Near,31.590000000000003,16.646666666666665,0.21608333333333332,1.9198333333333333
12,378,2025-11-02,20:11:00,Intervention,Session 2,Near,31.939999999999998,16.465833333333332,0.23366666666666666,0.7607499999999999
13,378,2025-11-02,20:12:00,Intervention,Session 2,Near,32.232499999999995,16.285833333333333,0.2316666666666667,0.24875000000000003
14,378,2025-11-02,20:13:00,Intervention,Session 2,Near,33.55416666666667,16.12333333333333,0.2193333333333333,0.7435833333333334
15,378,2025-11-02,20:14:00,Intervention,Session 2,Near,33.45166666666667,15.974166666666667,0.4690833333333333,1.47575
16,378,2025-11-02,20:15:00,Intervention,Session 2,Near,33.8375,15.825000000000001,0.35641666666666666,3.360666666666667
17,378,2025-11-02,20:16:00,Intervention,Session 2,Near,33.78916666666667,15.6825,0.2520833333333333,0.8205
18,378,2025-11-02,20:17:00,Intervention,Session 2,Near,34.12416666666667,15.551666666666668,0.34800000000000003,1.244
19,378,2025-11-02,20:18:00,Intervention,Session 2,Near,35.229166666666664,15.451666666666668,0.38125000000000003,0.7912500000000001
20,378,2025-11-02,20:19:00,Intervention,Session 2,Near,36.86083333333333,15.347499999999998,0.19641666666666668,0.19708333333333336
21,378,2025-11-02,20:20:00,Intervention,Session 2,Near,35.5925,15.240833333333335,0.48900000000000005,1.61725
22,378,2025-11-02,20:21:00,Intervention,Session 2,Near,34.55833333333333,15.124166666666667,0.23058333333333333,0.251
23,378,2025-11-02,20:22:00,Intervention,Session 2,Near,34.89833333333333,15.04,0.16533333333333333,0.18108333333333335
24,378,2025-11-02,20:23:00,Intervention,Session 2,Near,34.83,14.969999999999999,0.37483333333333335,1.5705833333333334
25,378,2025-11-02,20:24:00,Intervention,Session 2,Near,36.13916666666667,14.913333333333334,0.2705,0.5013333333333333
26,378,2025-11-02,20:25:00,Intervention,Session 2,Near,35.76833333333334,14.836666666666666,0.16658333333333333,0.169
27,378,2025-11-02,20:26:00,Intervention,Session 2,Near,36.61083333333333,14.7475,0.2634166666666667,0.33075
28,378,2025-11-02,20:27:00,Intervention,Session 2,Near,36.178333333333335,14.657499999999999,0.3169166666666667,0.4613333333333333
29,378,2025-11-02,20:28:00,Intervention,Session 2,Near,36.163333333333334,14.555833333333332,0.15416666666666665,2.438833333333333
30,378,2025-11-02,20:29:00,Intervention,Session 2,Near,36.38916666666667,14.510833333333332,0.21158333333333335,0.2786666666666667
31,378,2025-11-02,20:30:00,Intervention,Session 2,Near,37.23416666666667,14.534166666666666,0.38641666666666663,1.5374166666666669
32,378,2025-11-02,20:31:00,Intervention,Session 2,Near,36.38666666666666,14.570833333333333,0.3935,0.5788333333333333
33,378,2025-11-02,20:32:00,Intervention,Session 2,Near,36.59916666666667,14.57,0.35791666666666666,0.5316666666666666
34,378,2025-11-02,20:33:00,Intervention,Session 2,Near,36.87,14.543333333333335,0.36575,0.5270833333333332
35,378,2025-11-02,20:34:00,Intervention,Session 2,Near,36.781666666666666,14.495833333333332,0.3746666666666667,0.48500000000000004
36,378,2025-11-02,20:35:00,Intervention,Session 2,Near,37.119166666666665,14.4275,0.31949999999999995,1.5236666666666665
37,378,2025-11-02,20:36:00,Intervention,Session 2,Near,37.575833333333335,14.37,0.3373333333333333,0.6379166666666666
38,378,2025-11-02,20:37:00,Intervention,Session 2,Near,37.02916666666667,14.305,0.3393333333333333,0.38208333333333333
39,378,2025-11-02,20:38:00,Intervention,Session 2,Near,37.69583333333333,14.265,0.49041666666666667,1.6979999999999997
40,378,2025-11-02,20:39:00,Intervention,Session 2,Near,37.49583333333333,14.215000000000002,0.3586666666666667,1.2145
41,378,2025-11-02,20:40:00,Intervention,Session 2,Near,36.9575,14.174999999999999,0.42191666666666666,0.8400833333333333
42,378,2025-11-02,20:41:00,Intervention,Session 2,Near,37.61166666666667,14.143333333333333,0.4484166666666667,1.31475
43,378,2025-11-02,20:42:00,Intervention,Session 2,Near,38.3,14.137500000000001,0.3695833333333333,0.42791666666666667
44,378,2025-11-02,20:43:00,Intervention,Session 2,Near,37.74666666666667,14.104999999999999,0.32333333333333336,0.4203333333333334
45,378,2025-11-02,20:44:00,Intervention,Session 2,Near,38.3475,14.066666666666668,0.23450000000000001,0.2525833333333333
46,378,2025-11-02,20:45:00,Intervention,Session 2,Near,39.07083333333333,14.0175,0.28058333333333335,0.31908333333333333
47,378,2025-11-02,20:46:00,Intervention,Session 2,Near,38.46083333333333,13.974166666666667,0.39225,0.4931666666666667
48,378,2025-11-02,20:47:00,Intervention,Session 2,Near,38.865,13.950000000000001,0.34875000000000006,1.0021666666666667
49,378,2025-11-02,20:48:00,Intervention,Session 2,Near,38.52,13.935,0.3511666666666667,0.6009166666666667
50,378,2025-11-02,20:49:00,Intervention,Session 2,Near,38.846666666666664,13.890833333333333,0.44283333333333336,0.7130833333333334
51,378,2025-11-02,20:50:00,Intervention,Session 2,Near,37.74583333333333,13.842500000000001,0.37966666666666665,3.34775
52,378,2025-11-02,20:51:00,Intervention,Session 2,Near,38.6575,13.7875,0.24991666666666668,0.3354166666666667
53,378,2025-11-02,20:52:00,Intervention,Session 2,Near,38.705,13.736666666666666,0.36766666666666664,0.6758333333333333
54,378,2025-11-02,20:53:00,Intervention,Session 2,Near,39.41833333333333,13.689166666666667,0.4310833333333333,0.81275
55,378,2025-11-02,20:54:00,Intervention,Session 2,Near,39.112500000000004,13.637500000000001,0.39758333333333334,0.77325
56,378,2025-11-02,20:55:00,Intervention,Session 2,Near,39.8275,13.580833333333333,0.249,3.452083333333334
57,378,2025-11-02,20:56:00,Intervention,Session 2,Near,39.9325,13.5375,0.34591666666666665,0.45441666666666664
58,378,2025-11-02,20:57:00,Intervention,Session 2,Near,39.52333333333333,13.491666666666667,0.21258333333333335,0.21775
59,378,2025-11-02,20:58:00,Intervention,Session 2,Near,39.895833333333336,13.444166666666668,0.37316666666666665,1.2355
60,378,2025-11-02,20:59:00,Intervention,Session 2,Near,39.8125,13.4,0.3205,0.6303333333333333
61,378,2025-11-02,21:00:00,Intervention,Session 2,Near,40.583333333333336,13.365,0.30183333333333334,1.1636666666666666
62,378,2025-11-02,21:01:00,Intervention,Session 2,Near,41.24166666666667,13.321666666666667,0.4093333333333333,0.6386666666666666
63,378,2025-11-02,21:02:00,Intervention,Session 2,Near,40.4425,13.274999999999999,0.3194166666666667,0.5731666666666667
64,378,2025-11-02,21:03:00,Intervention,Session 2,Near,39.98833333333334,13.225833333333334,0.30641666666666667,1.4974999999999998
65,378,2025-11-02,21:04:00,Intervention,Session 2,Near,39.659166666666664,13.189166666666667,0.4409166666666667,1.09425
66,378,2025-11-02,21:05:00,Intervention,Session 2,Near,39.95666666666667,13.1475,0.317,0.5649166666666666
67,378,2025-11-02,21:06:00,Intervention,Session 2,Near,40.04666666666667,13.1025,0.4206666666666667,0.7288333333333332
68,378,2025-11-02,21:07:00,Intervention,Session 2,Near,41.01,13.06,0.26575,1.03075
69,378,2025-11-02,21:08:00,Intervention,Session 2,Near,40.990833333333335,13.015833333333333,0.30041666666666667,0.39275
70,378,2025-11-02,21:09:00,Intervention,Session 2,Near,40.56,12.9775,0.21366666666666667,2.7379166666666666
71,378,2025-11-02,21:10:00,Intervention,Session 2,Near,41.14083333333333,12.9425,0.15616666666666668,0.15858333333333333
72,378,2025-11-02,21:11:00,Intervention,Session 2,Near,40.281666666666666,12.908333333333333,0.3558333333333333,0.5006666666666667
73,378,2025-11-02,21:12:00,Intervention,Session 2,Near,40.46,12.873333333333333,0.3455,0.4515833333333333
74,378,2025-11-02,21:13:00,Intervention,Session 2,Near,40.21333333333333,12.844999999999999,0.18916666666666668,0.19225
75,378,2025-11-02,21:14:00,Intervention,Session 2,Near,40.04916666666667,12.81,0.2996666666666667,1.4175833333333332
76,378,2025-11-02,21:15:00,Intervention,Session 2,Near,39.767500000000005,12.772499999999999,0.23941666666666664,0.25758333333333333
77,378,2025-11-02,21:16:00,Intervention,Session 2,Near,39.16583333333333,12.7475,0.23525,0.27
78,378,2025-11-02,21:17:00,Intervention,Session 2,Near,39.535833333333336,12.707500000000001,0.5880833333333334,2.6452500000000003
79,378,2025-11-02,21:18:00,Intervention,Session 2,Near,39.612500000000004,12.671666666666667,0.27858333333333335,2.242166666666667
80,378,2025-11-02,21:19:00,Intervention,Session 2,Near,40.235,12.650833333333333,0.2821666666666667,0.33466666666666667
81,378,2025-11-02,21:20:00,Intervention,Session 2,Near,39.88,12.616666666666667,0.26966666666666667,0.3469166666666667
82,378,2025-11-02,21:21:00,Intervention,Session 2,Near,39.818333333333335,12.574166666666665,0.33625,3.291166666666667
83,378,2025-11-02,21:22:00,Intervention,Session 2,Near,40.99,12.545833333333334,0.33433333333333337,0.557
84,378,2025-11-02,21:23:00,Intervention,Session 2,Near,39.979166666666664,12.526666666666666,0.49766666666666665,0.797
85,378,2025-11-02,21:24:00,Intervention,Session 2,Near,40.3725,12.4975,0.3805,0.5498333333333334
86,378,2025-11-02,21:25:00,Intervention,Session 2,Near,40.45166666666667,12.456666666666669,0.4360833333333333,0.622
87,378,2025-11-02,21:26:00,Intervention,Session 2,Near,41.097500000000004,12.43,0.39399999999999996,1.7139166666666668
88,378,2025-11-02,21:27:00,Intervention,Session 2,Near,40.6275,12.402500000000002,0.3273333333333333,0.35791666666666666
89,378,2025-11-02,21:28:00,Intervention,Session 2,Near,41.472500000000004,12.376666666666667,0.2285,0.24850000000000003
90,378,2025-11-02,21:29:00,Intervention,Session 2,Near,41.90833333333334,12.335833333333333,0.4795833333333333,1.68075
91,378,2025-11-02,21:30:00,Intervention,Session 2,Near,41.85583333333333,12.306666666666667,0.36400000000000005,2.27175
92,378,2025-11-02,21:31:00,Intervention,Session 2,Near,41.76833333333334,12.277499999999998,0.26433333333333336,0.2754166666666667
93,378,2025-11-02,21:32:00,Intervention,Session 2,Near,42.55833333333333,12.235833333333334,0.46308333333333335,2.3859166666666667
94,378,2025-11-02,21:33:00,Intervention,Session 2,Near,42.01416666666667,12.1975,0.33016666666666666,0.3586666666666667
95,378,2025-11-02,21:34:00,Intervention,Session 2,Near,41.641666666666666,12.171666666666667,0.42566666666666664,0.8240833333333334
96,378,2025-11-02,21:35:00,Intervention,Session 2,Near,42.740833333333335,12.139166666666668,0.2575,0.5149166666666667
97,378,2025-11-02,21:36:00,Intervention,Session 2,Near,43.41583333333333,12.1025,0.33216666666666667,0.4363333333333333
98,378,2025-11-02,21:37:00,Intervention,Session 2,Near,42.94916666666666,12.065,0.3073333333333333,0.5680833333333334
99,378,2025-11-02,21:38:00,Intervention,Session 2,Near,42.575833333333335,12.021666666666667,0.36141666666666666,0.6700833333333334
100,378,2025-11-02,21:39:00,Intervention,Session 2,Near,42.375,11.991666666666667,0.56475,1.1025
101,378,2025-11-02,21:40:00,Intervention,Session 2,Near,43.98166666666666,11.956666666666665,0.4805,0.661
102,378,2025-11-02,21:41:00,Intervention,Session 2,Near,43.08416666666667,11.916666666666666,0.33025,0.3718333333333333
103,378,2025-11-02,21:42:00,Intervention,Session 2,Near,43.7425,11.886666666666668,0.3056666666666667,0.3144166666666667
104,378,2025-11-02,21:43:00,Intervention,Session 2,Near,42.97833333333333,11.851666666666667,0.48525,0.6940833333333334
105,378,2025-11-02,21:44:00,Intervention,Session 2,Near,43.50833333333333,11.825833333333334,0.5454166666666667,7.596666666666667
106,378,2025-11-02,21:45:00,Intervention,Session 2,Near,43.530833333333334,11.790833333333333,0.34674999999999995,1.2545
107,378,2025-11-02,21:46:00,Intervention,Session 2,Near,43.275,11.745833333333332,0.44341666666666674,0.6071666666666667
108,378,2025-11-02,21:47:00,Intervention,Session 2,Near,43.57,11.715833333333334,0.47841666666666666,1.78925
109,378,2025-11-02,21:48:00,Intervention,Session 2,Near,43.78333333333333,11.6725,0.4670833333333333,0.6695833333333333
110,378,2025-11-02,21:49:00,Intervention,Session 2,Near,43.7875,11.639166666666668,0.4046666666666667,0.5631666666666667
111,378,2025-11-02,21:50:00,Intervention,Session 2,Near,44.48416666666666,11.600833333333334,0.3511666666666667,2.1752499999999997
112,378,2025-11-02,21:51:00,Intervention,Session 2,Near,43.71,11.561666666666667,0.44649999999999995,0.8503333333333334
113,378,2025-11-02,21:52:00,Intervention,Session 2,Near,43.92083333333334,11.5375,0.38158333333333333,2.14775
114,378,2025-11-02,21:53:00,Intervention,Session 2,Near,43.92083333333333,11.515,0.2678333333333333,0.2738333333333333
115,378,2025-11-02,21:54:00,Intervention,Session 2,Near,43.37916666666666,11.475,0.31575,0.3401666666666667
116,378,2025-11-02,21:55:00,Intervention,Session 2,Near,44.20166666666666,11.440833333333332,0.4649166666666667,0.8598333333333333
117,378,2025-11-02,21:56:00,Intervention,Session 2,Near,44.79916666666667,11.42,0.589,0.9648333333333333
118,378,2025-11-02,21:57:00,Intervention,Session 2,Near,44.81916666666667,11.370833333333332,0.541,1.7988333333333333
119,378,2025-11-02,21:58:00,Intervention,Session 2,Near,44.40833333333333,11.340833333333334,0.3939166666666667,2.2730833333333336
120,378,2025-11-02,21:59:00,Intervention,Session 2,Near,44.48833333333334,11.316666666666668,0.22150000000000003,0.22416666666666665
